fecha,vuelos_totales,atrasos_totales_arribo,atrasos_totales_salida,vuelos_cancelados,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
3/7/1999,13474,2624,2350,166,0,0,0,0,0
4/6/1999,15621,4448,3352,299,0,0,0,0,0
5/5/1999,15469,4441,3291,591,0,0,0,0,0
6/4/1999,15433,3660,2834,285,0,0,0,0,0
7/3/1999,14487,3914,3326,378,0,0,0,0,0
8/2/1999,15333,3912,3239,924,0,0,0,0,0
9/1/1999,12928,4500,3964,825,0,0,0,0,0
1/8/1999,15031,4165,3845,380,0,0,0,0,0
2/7/1999,15768,5804,4764,409,0,0,0,0,0
3/6/1999,15602,2996,2203,284,0,0,0,0,0
4/5/1999,15471,4392,3163,708,0,0,0,0,0
5/4/1999,15444,3804,2854,239,0,0,0,0,0
6/3/1999,13320,4593,3938,825,0,0,0,0,0
7/2/1999,14344,3734,3108,594,0,0,0,0,0
8/1/1999,15245,8474,7318,2281,0,0,0,0,0
1/7/1999,15755,6963,5451,724,0,0,0,0,0
2/6/1999,15575,3955,2871,472,0,0,0,0,0
3/5/1999,15438,2741,2050,298,0,0,0,0,0
4/4/1999,14364,2203,1856,121,0,0,0,0,0
5/3/1999,15435,3430,2801,606,0,0,0,0,0
6/2/1999,13124,2124,1748,358,0,0,0,0,0
7/1/1999,15223,5116,4420,746,0,0,0,0,0
1/6/1999,15487,3785,2796,397,0,0,0,0,0
2/5/1999,14539,3750,3197,245,0,0,0,0,0
3/4/1999,13113,3469,2856,458,0,0,0,0,0
4/3/1999,15398,3329,2787,541,0,0,0,0,0
5/2/1999,15369,2696,2104,228,0,0,0,0,0
6/1/1999,15213,6623,5599,1036,0,0,0,0,0
1/5/1999,13381,1656,1321,196,0,0,0,0,0
2/4/1999,15164,2845,2434,201,0,0,0,0,0
3/3/1999,15404,4452,3423,461,0,0,0,0,0
4/2/1999,15312,2785,2055,324,0,0,0,0,0
5/1/1999,15205,5944,5783,617,0,0,0,0,0
29/9/1999,15814,4382,3137,554,0,0,0,0,0
