año, destino, vuelos_totales,tiempo_atrasado_promedio_arribo, atrasos_totales_arribo, CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
1999, HDN, 608, 144, 44.88194, 12, 0, 0, 0, 0, 0
1999, HLN, 849, 111, 46.27927, 9, 0, 0, 0, 0, 0
1999, HNL, 11230, 2222, 63.75157, 77, 0, 0, 0, 0, 0
1999, HOU, 57337, 10608, 41.13838, 1083, 0, 0, 0, 0, 0
1999, HPN, 4957, 1613, 36.45505, 459, 0, 0, 0, 0, 0
1999, HRL, 4151, 859, 41.52502, 84, 0, 0, 0, 0, 0
1999, HSV, 5860, 1410, 42.68439, 227, 0, 0, 0, 0, 0
1999, IAD, 70999, 19366, 41.12620, 3173, 0, 0, 0, 0, 0
1999, IAH, 129514, 24642, 48.45962, 2192, 0, 0, 0, 0, 0
1999, ICT, 6400, 1447, 44.77608, 188, 0, 0, 0, 0, 0
1999, ILM, 2074, 496, 41.59879, 73, 0, 0, 0, 0, 0
1999, IND, 34471, 8272, 45.55790, 852, 0, 0, 0, 0, 0
1999, ISP, 6185, 1205, 44.07302, 92, 0, 0, 0, 0, 0
1999, ITH, 1306, 291, 40.56357, 39, 0, 0, 0, 0, 0
1999, JAC, 809, 247, 44.59919, 26, 0, 0, 0, 0, 0
1999, JAN, 9211, 1459, 44.44825, 83, 0, 0, 0, 0, 0
1999, JAX, 23046, 5377, 47.12404, 368, 0, 0, 0, 0, 0
1999, JFK, 45009, 10430, 46.66951, 1122, 0, 0, 0, 0, 0
1999, JNU, 4480, 1285, 45.01011, 91, 0, 0, 0, 0, 0
1999, KOA, 733, 120, 55.33333, 1, 0, 0, 0, 0, 0
1999, KTN, 2440, 778, 44.69280, 64, 0, 0, 0, 0, 0
1999, LAN, 2130, 503, 46.21868, 53, 0, 0, 0, 0, 0
1999, LAS, 125168, 28432, 46.10861, 1234, 0, 0, 0, 0, 0
1999, LAX, 191831, 47207, 42.40695, 5631, 0, 0, 0, 0, 0
1999, LBB, 5997, 1006, 38.93041, 105, 0, 0, 0, 0, 0
1999, LEX, 3756, 893, 42.62486, 120, 0, 0, 0, 0, 0
1999, LFT, 2, 1, 16.00000, , 0, 0, 0, 0, 0
1999, LGA, 98344, 29772, 45.22548, 5138, 0, 0, 0, 0, 0
1999, LGB, 3329, 690, 39.24347, 69, 0, 0, 0, 0, 0
1999, LIH, 403, 54, 58.51851, , 0, 0, 0, 0, 0
1999, LIT, 13036, 2619, 45.80412, 160, 0, 0, 0, 0, 0
1999, LNK, 3034, 612, 46.79411, 57, 0, 0, 0, 0, 0
1999, LSE, 650, 115, 38.91304, 25, 0, 0, 0, 0, 0
1999, LWB, 81, 24, 52.37500, 2, 0, 0, 0, 0, 0
1999, MAF, 6375, 1090, 41.14403, 100, 0, 0, 0, 0, 0
1999, MBS, 3787, 920, 42.66956, 139, 0, 0, 0, 0, 0
1999, MCI, 60188, 12474, 46.01595, 840, 0, 0, 0, 0, 0
1999, MCO, 97911, 21729, 49.04086, 1641, 0, 0, 0, 0, 0
1999, MDT, 7598, 2044, 44.78131, 296, 0, 0, 0, 0, 0
1999, MDW, 50490, 10357, 45.59273, 848, 0, 0, 0, 0, 0
1999, MEM, 50989, 7091, 46.30221, 799, 0, 0, 0, 0, 0
1999, MFE, 3415, 700, 47.80000, 34, 0, 0, 0, 0, 0
1999, MFR, 1300, 377, 60.08222, 21, 0, 0, 0, 0, 0
1999, MGM, 1270, 263, 45.42585, 12, 0, 0, 0, 0, 0
1999, MHT, 12943, 3445, 46.97590, 284, 0, 0, 0, 0, 0
1999, MIA, 66338, 17626, 47.99489, 1868, 0, 0, 0, 0, 0
1999, MKE, 15404, 3473, 42.35761, 497, 0, 0, 0, 0, 0
1999, MLB, 1795, 359, 45.35376, 20, 0, 0, 0, 0, 0
1999, MLI, 1883, 310, 42.10967, 51, 0, 0, 0, 0, 0
1999, MLU, 2179, 438, 50.47488, 17, 0, 0, 0, 0, 0
1999, MOB, 4330, 819, 42.68620, 88, 0, 0, 0, 0, 0
1999, MOT, 1092, 159, 40.31446, 9, 0, 0, 0, 0, 0
1999, MRY, 715, 121, 43.80165, 28, 0, 0, 0, 0, 0
1999, MSN, 4567, 1165, 44.33562, 147, 0, 0, 0, 0, 0
1999, MSO, 2150, 365, 41.47397, 34, 0, 0, 0, 0, 0
1999, MSP, 143415, 25200, 46.73464, 3779, 0, 0, 0, 0, 0
1999, MSY, 49393, 10316, 46.94222, 518, 0, 0, 0, 0, 0
1999, MTJ, 299, 40, 42.30000, , 0, 0, 0, 0, 0
1999, MYR, 2159, 514, 38.71400, 43, 0, 0, 0, 0, 0
1999, OAK, 55489, 10472, 39.67570, 696, 0, 0, 0, 0, 0
1999, OGG, 3049, 445, 56.05393, 9, 0, 0, 0, 0, 0
1999, OKC, 20253, 4011, 45.89030, 209, 0, 0, 0, 0, 0
1999, OMA, 16896, 3658, 45.61016, 161, 0, 0, 0, 0, 0
1999, OME, 923, 293, 39.99317, 52, 0, 0, 0, 0, 0
1999, ONT, 34745, 7576, 42.65100, 474, 0, 0, 0, 0, 0
