año, destino, vuelos_totales,tiempo_atrasado_promedio_salida, atrasos_totales_salida, CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
1998, PWM, 6615, 822, 42.93187, 173, 0, 0, 0, 0, 0
1998, RAP, 1121, 207, 37.52173, 93, 0, 0, 0, 0, 0
1998, RDU, 27634, 3568, 44.60930, 760, 0, 0, 0, 0, 0
1998, RIC, 15107, 2217, 42.56517, 521, 0, 0, 0, 0, 0
1998, RNO, 26271, 4527, 50.51491, 328, 0, 0, 0, 0, 0
1998, ROA, 2492, 246, 29.50813, 95, 0, 0, 0, 0, 0
1998, ROC, 14611, 2202, 53.38964, 451, 0, 0, 0, 0, 0
1998, RST, 2279, 284, 37.70422, 143, 0, 0, 0, 0, 0
1998, RSW, 14040, 1971, 51.10553, 156, 0, 0, 0, 0, 0
1998, SAN, 67143, 12282, 45.05365, 1352, 0, 0, 0, 0, 0
1998, SAT, 37478, 4731, 45.73451, 440, 0, 0, 0, 0, 0
1998, SAV, 5133, 672, 66.52827, 59, 0, 0, 0, 0, 0
1998, SBA, 1430, 518, 65.61196, 41, 0, 0, 0, 0, 0
1998, SBN, 3356, 388, 33.40463, 148, 0, 0, 0, 0, 0
1998, SCC, 517, 120, 46.75000, 31, 0, 0, 0, 0, 0
1998, SDF, 24117, 3426, 48.32953, 452, 0, 0, 0, 0, 0
1998, SEA, 98314, 18781, 44.62520, 2110, 0, 0, 0, 0, 0
1998, SFO, 139853, 37108, 53.17958, 6022, 0, 0, 0, 0, 0
1998, SGF, 1812, 221, 51.88687, 42, 0, 0, 0, 0, 0
1998, SHV, 3884, 467, 48.98929, 80, 0, 0, 0, 0, 0
1998, SIT, 1323, 183, 53.16393, 7, 0, 0, 0, 0, 0
1998, SJC, 49200, 7635, 40.29927, 758, 0, 0, 0, 0, 0
1998, SJU, 20275, 3006, 57.17032, 411, 0, 0, 0, 0, 0
1998, SLC, 85084, 11708, 46.45695, 1499, 0, 0, 0, 0, 0
1998, SMF, 36431, 6096, 44.29445, 314, 0, 0, 0, 0, 0
1998, SNA, 34683, 4787, 40.56945, 758, 0, 0, 0, 0, 0
1998, SRQ, 5985, 781, 54.66709, 84, 0, 0, 0, 0, 0
1998, STL, 176030, 36342, 49.41021, 4625, 0, 0, 0, 0, 0
1998, STT, 2219, 292, 58.36301, 33, 0, 0, 0, 0, 0
1998, STX, 985, 115, 50.47826, 24, 0, 0, 0, 0, 0
1998, SUX, 687, 102, 32.84313, 53, 0, 0, 0, 0, 0
1998, SWF, 1932, 197, 55.27918, 28, 0, 0, 0, 0, 0
1998, SYR, 11145, 1533, 41.08545, 363, 0, 0, 0, 0, 0
1998, TLH, 2483, 380, 114.27105, 70, 0, 0, 0, 0, 0
1998, TOL, 1895, 240, 39.89583, 50, 0, 0, 0, 0, 0
1998, TPA, 54571, 7757, 54.36354, 757, 0, 0, 0, 0, 0
1998, TRI, 1404, 161, 28.19254, 54, 0, 0, 0, 0, 0
1998, TUL, 18766, 2700, 47.06518, 235, 0, 0, 0, 0, 0
1998, TUS, 18320, 2685, 45.11061, 279, 0, 0, 0, 0, 0
1998, TVC, 1001, 232, 41.90948, 90, 0, 0, 0, 0, 0
1998, TYS, 8244, 1220, 38.16967, 368, 0, 0, 0, 0, 0
1998, VPS, 1085, 127, 33.00787, 83, 0, 0, 0, 0, 0
1998, WRG, 726, 177, 59.06214, 25, 0, 0, 0, 0, 0
1998, YAK, 726, 139, 54.74820, 9, 0, 0, 0, 0, 0
1999, ABE, 6089, 919, 47.40043, 250, 0, 0, 0, 0, 0
1999, ABQ, 37276, 5825, 44.52188, 352, 0, 0, 0, 0, 0
1999, ADQ, 725, 186, 40.35483, 40, 0, 0, 0, 0, 0
1999, AGS, 1452, 182, 42.17582, 42, 0, 0, 0, 0, 0
1999, AKN, 343, 89, 46.68539, 13, 0, 0, 0, 0, 0
1999, ALB, 11644, 1920, 44.25416, 421, 0, 0, 0, 0, 0
1999, AMA, 4794, 676, 46.12573, 83, 0, 0, 0, 0, 0
1999, ANC, 20807, 4612, 39.34171, 1026, 0, 0, 0, 0, 0
1999, ATL, 263865, 54353, 47.55792, 6859, 0, 0, 0, 0, 0
1999, AUS, 44351, 5596, 43.51483, 872, 0, 0, 0, 0, 0
1999, AVL, 1423, 158, 28.58860, 63, 0, 0, 0, 0, 0
1999, AVP, 1719, 213, 28.02816, 90, 0, 0, 0, 0, 0
1999, AZO, 1648, 219, 64.92237, 53, 0, 0, 0, 0, 0
1999, BDL, 31954, 5108, 45.64447, 1033, 0, 0, 0, 0, 0
1999, BET, 1030, 266, 48.06015, 51, 0, 0, 0, 0, 0
1999, BFL, 239, 11, 53.18181, 1, 0, 0, 0, 0, 0
1999, BGM, 1035, 177, 30.35028, 64, 0, 0, 0, 0, 0
1999, BGR, 180, 21, 50.61904, 7, 0, 0, 0, 0, 0
1999, BHM, 20889, 2969, 47.62445, 348, 0, 0, 0, 0, 0
1999, BIL, 2907, 294, 50.38095, 58, 0, 0, 0, 0, 0
1999, BIS, 1421, 111, 67.30630, 15, 0, 0, 0, 0, 0
1999, BNA, 54544, 8797, 50.32170, 815, 0, 0, 0, 0, 0
1999, BOI, 11504, 1564, 49.36956, 51, 0, 0, 0, 0, 0
1999, BOS, 107790, 23367, 45.74344, 6260, 0, 0, 0, 0, 0
1999, BRO, 93, 14, 27.00000, 3, 0, 0, 0, 0, 0
1999, BRW, 952, 278, 35.16546, 119, 0, 0, 0, 0, 0
