Anio,Mes,Dia,otp
1999,1,23,31.412740235585865
1999,1,24,18.35594292542349
1999,1,25,13.114161849710984
1999,1,26,13.680674482940324
1999,1,27,12.71297940924939
1999,1,28,19.550377420413522
1999,1,29,19.084594718563658
1999,1,30,13.135658914728682
1999,1,31,18.60562788744225
1999,2,1,55.35392245266005
1999,2,2,19.91208502821152
1999,2,3,10.56173200702165
1999,2,4,17.40635716169876
1999,2,5,23.890914093128824
1999,2,6,21.913322632423757
1999,2,7,33.51090816844241
1999,2,8,15.702165379257947
1999,2,9,12.985550759992494
1999,2,10,10.624092888243831
1999,2,11,23.303124405855883
1999,2,12,12.156925031766201
1999,2,13,20.638783269961976
1999,2,14,13.959974897148037
1999,2,15,10.052338894340856
1999,2,16,15.448817874772669
1999,2,17,15.381867775035719
1999,2,18,23.56224847462028
1999,2,19,16.179141263458295
1999,2,20,13.101604278074866
1999,2,21,12.99433075221239
1999,2,22,12.758083365796649
1999,2,23,15.232928334741082
1999,2,24,15.317130231349104
1999,2,25,19.143617711985456
1999,2,26,17.81199351701783
1999,2,27,15.293984792592035
1999,2,28,22.845095735121312
1999,3,1,61.65977961432507
1999,3,2,10.541105737812051
1999,3,3,25.561542456504803
1999,3,4,24.11728818729505
1999,3,5,15.51690633501749
1999,3,6,16.66132547109345
1999,3,7,18.457770521003415
1999,3,8,15.522160928286095
1999,3,9,16.9312996186785
1999,3,10,21.276947493717763
1999,3,11,14.75425390600291
1999,3,12,19.562872731886817
1999,3,13,17.748105918535742
1999,3,14,36.13711453744494
1999,3,15,25.531225706141488
1999,3,16,14.913759564258852
1999,3,17,14.94103926396268
1999,3,18,21.642080745341616
1999,3,19,18.820678513731824
1999,3,20,10.694506810357732
1999,3,21,20.54431599229287
1999,3,22,12.388291672063204
1999,3,23,9.59880744053406
1999,3,24,13.950777202072539
1999,3,25,16.367872629603262
1999,3,26,16.143309426891516
1999,3,27,15.135660363255848
1999,3,28,12.901561532640848
1999,3,29,10.477702877884367
1999,3,30,11.929938371715862
1999,3,31,18.93118879304754
1999,4,1,50.84168467937381
1999,4,2,15.804597701149426
1999,4,3,19.859722041823613
1999,4,4,14.12907268170426
1999,4,5,24.416650507400945
1999,4,6,24.966391396197427
1999,4,7,7.628840838887986
1999,4,8,19.645232815964523
1999,4,9,11.267870579382995
1999,4,10,25.648778029730412
1999,4,11,18.224062717329456
1999,4,12,18.880964634953312
1999,4,13,11.941363429979893
1999,4,14,19.15348716619134
1999,4,15,25.853690144495562
1999,4,16,30.790358019904357
1999,4,17,13.972182756300008
1999,4,18,10.955036838118845
1999,4,19,8.432681093689258
1999,4,20,9.484602917341977
1999,4,21,12.827157294635915
1999,4,22,32.372562989830946
1999,4,23,37.0474528057926
1999,4,24,14.121565985477956
1999,4,25,17.331225079059536
1999,4,26,28.76392847888054
1999,4,27,16.441864989300306
1999,4,28,20.3905540417802
1999,4,29,21.092839570115242
1999,4,30,18.023556821123478
1999,5,1,38.5629727063466
1999,5,2,15.615850087839156
1999,5,3,20.184645286686102
1999,5,4,21.555296555296554
1999,5,5,24.991919322516
1999,5,6,12.515552953231355
1999,5,7,17.52788226753778
1999,5,8,25.14072481183986
1999,5,9,11.555467824713778
1999,5,10,10.262462235649547
1999,5,11,17.038417793504358
1999,5,12,17.697778970677046
1999,5,13,22.8867778208608
1999,5,14,18.82371898163068
1999,5,15,12.078422652138462
1999,5,16,17.713188922401976
1999,5,17,29.81011431893044
1999,5,18,25.43757669702254
1999,5,19,22.963895885810242
1999,5,20,19.698729114250693
1999,5,21,15.93675532942616
1999,5,22,11.547292793126434
1999,5,23,25.130208333333332
1999,5,24,29.447813185395432
1999,5,25,19.50125814568682
1999,5,26,20.161914591665592
1999,5,27,17.597549177684616
1999,5,28,18.135833494426187
1999,5,29,14.673276602388945
1999,5,30,9.951591143560035
1999,5,31,16.39618138424821
